Title,Condition,Price,Shipping,Location,Sold Date,Rating,Sold After 2/22/26,US Seller,Log of Price,Log of Shipping
2019-20 Series 1 - Jack Hughes Rookie RC YOUNG GUNS #201 DEVILS TAG GEM MINT 10,New (Other),204.69,13.75,Located in Canada,2026-05-05,,1,0,5.321496639495442,2.691243082785829
2019 Jack Hughes O-Pee-Chee OPC Update Retro Marquee Rookie PSA 10,New (Other),150.0,5.72,Located in United States,2026-05-09,,1,1,5.0106352940962555,1.9050881545350582
2019 Upper Deck Quinn Hughes Young Guns PSA 10,New (Other),275.0,6.0,Located in United States,2026-05-09,5.0,1,1,5.616771097666572,1.9459101490553132
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC) PSA 9 🇺🇸🥇🔥🔥🔥,New (Other),130.0,5.17,Located in United States,2026-05-08,5.0,1,1,4.867534450455582,1.8196988379172965
2024 Upper Deck Jack Hughes Young Guns Renewed PSA 10,New (Other),110.0,5.62,Located in United States,2026-05-08,,1,1,4.700480365792417,1.890095369948917
2019-20 UPPER DECK JACK HUGHES UD PORTRAITS ROOKIE PSA 10 RC GEM MINT #P-100 GC,New (Other),120.0,0.0,Located in United States,2026-05-08,,1,1,4.787491742782046,0.0
2019-20 Upper Deck Jack Hughes/Quinn Hughes Young Guns Checklist #250 RC PSA 10,New (Other),150.0,5.89,Located in United States,2026-05-06,,1,1,5.0106352940962555,1.9300710850255671
2019-20 Upper Deck Series 1 Jack Hughes Rookie Young Guns #201 PSA 10 GEM MT,New (Other),204.72,24.39,Located in Canada,2026-05-06,,1,0,5.321643191851534,3.234355395716587
Jack Hughes Signed 2019/20 Upper Deck Young Guns Card #201 PSA/DNA,Pre-Owned,799.99,5.89,Located in United States,2026-05-05,5.0,1,1,6.684599227589802,1.9300710850255671
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC) PSA 10 Gem Mint,New (Other),349.99,5.72,Located in United States,2026-05-04,5.0,1,1,5.857904582646717,1.9050881545350582
2019 Upper Deck #250 Jack Hughes & Quinn Hughes Young Guns Auto Psa GEM MT 10/9,New (Other),2800.0,6.5,Located in United States,2026-05-03,,1,1,7.937374696163295,2.0149030205422647
2019-20 Upper Deck Young Guns Jack Hughes Rookie #201 PSA 10 GOLDEN GOAL!!!,New (Other),205.0,5.48,Located in United States,2026-05-03,5.0,1,1,5.3230099791384085,1.8687205103641833
Jack Hughes PSA 10 Gem Mint 2019 Upper Deck Young Guns Rookie 201 card RC Devils,New (Other),209.95,7.95,Located in United States,2026-05-03,5.0,1,1,5.346869407130202,2.191653532286764
Jack Hughes 2019-20 Upper Deck #201 Young Guns Rookie PSA 9 New Jersey Devils,New (Other),150.0,5.99,Located in United States,2026-05-01,5.0,1,1,5.0106352940962555,1.944480556245719
