Title,Condition,Rating,Price,Shipping,Location,Sold Date,US Seller,Log of Price,Log of Shipping
Jack Hughes Signed 2019/20 Upper Deck Young Guns Card #201 PSA/DNA,Pre-Owned,5.0,799.99,5.89,Located in United States,"May 5, 2026",1,6.684599227589802,1.9300710850255671
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC) PSA 10 Gem Mint,New (Other),5.0,349.99,5.72,Located in United States,"May 4, 2026",1,5.857904582646717,1.9050881545350582
2019 Upper Deck #250 Jack Hughes & Quinn Hughes Young Guns Auto Psa GEM MT 10/9,New (Other),,2800.0,6.5,Located in United States,"May 3, 2026",1,7.937374696163295,2.0149030205422647
CONNOR MCDAVID 2015-16 Upper Deck Young Guns UD Canvas PSA 10 Rookie #C211 RC,New (Other),,1645.09,56.96,Located in Canada,"Apr 23, 2026",0,7.405550372949067,4.059753117452481
2019-20 Upper Deck - Young Guns Jack Hughes #201 Speckled Rainbow Foil (RC),New (Other),,525.0,8.95,Located in United States,"Apr 24, 2026",1,6.263398262591624,2.2975725511705014
2019-20 Upper Deck JACK HUGHES YOUNG GUNS ROOKIE SPECKLED RAINBOW FOIL PSA 9 RC,New (Other),,750.0,5.97,Located in United States,"Mar 28, 2026",1,6.620073206530356,1.9416152247724325
2019-20 Upper Deck Jack Hughes #201 Clear Cut Young Guns Rookie PSA 10,New (Other),,1199.86,0.0,Located in United States,"Apr 23, 2026",1,7.08996016230334,0.0
2019-20 Upper Deck Quinn Hughes Young Guns Rookie Ygs Yg RC #249 PSA 10 GEM MINT,New (Other),5.0,319.99,6.0,Located in United States,"Apr 22, 2026",1,5.768289745305481,1.9459101490553132
2019-20 Upper Deck Speckled Rainbow Foil Jack Hughes & Quinn PSA 10 GEM MT 10aa,New (Other),,428.0,4.99,Located in United States,"Apr 19, 2026",1,6.059123195581797,1.7900914121273581
2019-20 Jack Hughes UD Young Guns Speckled Rainbow PSA 10!,New (Other),,1999.0,5.97,Located in United States,"Apr 18, 2026",1,7.6004023345004,1.9416152247724325
2019-20 Upper Deck Jack Hughes Young Guns Rookie RC Silver Foil #201 PSA 10,New (Other),,1399.99,4.5,Located in United States,"Apr 17, 2026",1,7.244220372720696,1.7047480922384253
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC).,New (Other),5.0,400.0,10.0,Located in United States,"Apr 14, 2026",1,5.991464547107982,2.3978952727983707
"2019-20 Upper Deck Jack Hughes, Quinn Hughes Young Guns Rookie Dual Auto PSA",New (Other),,750.0,0.0,Located in United States,"Apr 6, 2026",1,6.620073206530356,0.0
2019-20 Series 1 Jack Hughes Young Guns Psa 10,New (Other),,329.02,14.62,Located in Canada,"Feb 22, 2026",0,5.796118539191275,2.7485521444115397
"2019-20 UD Series 1 Jack, Quinn Hughes YG Checklist in Person Dual Auto PSA Auth",New (Other),,599.95,5.95,Located in Canada,"Apr 5, 2026",0,6.396846318410398,1.9387416595767009
